Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-05-15,6.9015,6.1964,6.38595,6.3821,6.3816,6.3903,472681.00399083
2017-05-16,6.4103,5.8995,6.1713,6.2055,6.1557,6.1869,331947.28623165
2017-05-17,6.2,5.633,5.90215,5.8903,5.8903,5.914,417812.87179683
2017-05-18,6.7,5.8448,6.6542,6.65,6.6501,6.6583,402586.76349685
2017-05-19,7.7,6.5,7.47365,7.4993,7.4482,7.4991,656869.69850812
2017-05-20,7.7,7.1,7.10295,7.101,7.1,7.1059,334414.82682503
2017-05-21,7.6,6.8691,7.58775,7.6,7.5755,7.6,504940.45670745
2017-05-22,9.3,7.55,7.9616,7.9482,7.9483,7.9749,1887609.1370023
2017-05-23,10.5,7.85,9.97855,9.9974,9.9597,9.9974,928122.63962188
2017-05-24,17.97,9.9968,16.977,17.072,16.9,17.054,2221572.4893336
2017-05-25,22.793,15.0,17.143,17.169,17.124,17.162,1807157.8893801
2017-05-26,17.599,12.551,13.7895,13.697,13.697,13.882,928906.35833265
2017-05-27,15.0,9.7001,14.0425,13.959,13.959,14.126,1303217.9563737
2017-05-28,16.431,12.797,14.82,14.8,14.761,14.879,942051.86363231
2017-05-29,16.5,14.005,16.0465,16.092,16.003,16.09,366519.16364816
2017-05-30,17.489,15.201,16.1135,16.068,16.081,16.146,541265.26777053
2017-05-31,17.593,14.19,16.2115,16.23,16.193,16.23,538864.30771486
2017-06-01,16.714,15.25,15.8785,15.878,15.865,15.892,256231.45318197
2017-06-02,16.39,15.44,15.9965,15.999,15.992,16.001,137519.30548299
2017-06-03,16.441,15.061,15.5445,15.558,15.531,15.558,137969.21338874
2017-06-04,17.07,15.2,16.8895,16.889,16.889,16.89,267827.59026314
2017-06-05,17.1,16.074,16.6385,16.638,16.615,16.662,269908.37911261
2017-06-06,17.5,16.2,17.031,17.086,16.974,17.088,569115.12662054
2017-06-07,18.579,16.5,16.879,16.882,16.869,16.889,502257.8616627
2017-06-08,17.404,16.25,17.0765,17.075,17.075,17.078,149894.21318016
2017-06-09,17.699,16.9,17.174,17.201,17.164,17.184,113866.34722531
2017-06-10,18.3,17.0,17.2945,17.271,17.273,17.316,343494.94889708
2017-06-11,23.0,17.275,21.526,21.52,21.52,21.532,950069.22019357
2017-06-12,22.49,15.6,18.164,18.054,18.073,18.255,970753.31910919
2017-06-13,20.233,18.085,19.833,19.816,19.812,19.854,351764.64392497
2017-06-14,20.5,16.302,16.985,17.022,16.949,17.021,467729.6151325
2017-06-15,17.593,13.419,16.773,16.812,16.73,16.816,661986.77569793
2017-06-16,17.4,15.736,16.827,16.88,16.796,16.858,261459.70007381
2017-06-17,21.075,16.5,21.0405,21.01,21.01,21.071,341189.73094357
2017-06-18,23.3,19.383,20.023,20.019,20.02,20.026,637191.16843144
2017-06-19,22.2,19.838,21.577,21.555,21.559,21.595,282838.94016355
2017-06-20,21.75,19.7,20.828,20.84,20.826,20.83,216334.3534434
2017-06-21,20.838,17.605,18.557,18.603,18.507,18.607,393521.12900149
2017-06-22,19.636,18.058,19.046,19.06,19.03,19.062,205362.48522232
2017-06-23,20.344,18.986,19.8575,19.801,19.841,19.874,116747.17332179
2017-06-24,19.885,17.502,17.938,17.932,17.936,17.94,178965.29207792
2017-06-25,21.13,17.1,18.351,18.419,18.301,18.401,491305.86411305
2017-06-26,19.535,15.073,17.1685,17.213,17.132,17.205,621165.56760103
2017-06-27,18.179,14.25,17.8405,17.834,17.814,17.867,656055.75161519
2017-06-28,18.681,16.66,18.357,18.309,18.319,18.395,365620.23878598
2017-06-29,18.65,16.924,17.626,17.592,17.592,17.66,220373.17052241
2017-06-30,18.298,17.15,17.169,17.15,17.15,17.188,123650.68160078
